"Statistic","Year","County and Region","UNIT","VALUE"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Eastern and Midland","Euro Million","4586"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Dublin","Euro Million","3062"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Mid-East","Euro Million","1143"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Kildare","Euro Million","396"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Louth","Euro Million","186"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Meath","Euro Million","301"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Wicklow","Euro Million","260"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Midland","Euro Million","381"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Laois","Euro Million","106"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Longford","Euro Million","49"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Offaly","Euro Million","102"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Westmeath","Euro Million","123"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","State","Euro Million","5490"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Northern and Western","Euro Million","819"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Border","Euro Million","337"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Leitrim","Euro Million","28"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Sligo","Euro Million","66"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Cavan","Euro Million","62"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Donegal","Euro Million","129"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Monaghan","Euro Million","52"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","West","Euro Million","482"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Galway","Euro Million","299"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Mayo","Euro Million","124"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Roscommon","Euro Million","59"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Southern","Euro Million","1625"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Mid-West","Euro Million","473"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Clare","Euro Million","115"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Limerick","Euro Million","204"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Tipperary","Euro Million","155"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","South-East","Euro Million","403"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Carlow","Euro Million","56"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Kilkenny","Euro Million","93"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Wexford","Euro Million","141"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Waterford","Euro Million","113"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","South-West","Euro Million","748"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Cork","Euro Million","607"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Kerry","Euro Million","142"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Eastern and Midland","Euro Million","3047"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Dublin","Euro Million","2033"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Mid-East","Euro Million","759"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Kildare","Euro Million","260"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Louth","Euro Million","125"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Meath","Euro Million","201"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Wicklow","Euro Million","174"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Midland","Euro Million","255"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Laois","Euro Million","72"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Longford","Euro Million","33"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Offaly","Euro Million","68"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Westmeath","Euro Million","83"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","State","Euro Million","6563"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Northern and Western","Euro Million","984"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Border","Euro Million","406"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Leitrim","Euro Million","33"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Sligo","Euro Million","79"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Cavan","Euro Million","74"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Donegal","Euro Million","158"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Monaghan","Euro Million","62"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","West","Euro Million","579"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Galway","Euro Million","357"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Mayo","Euro Million","151"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Roscommon","Euro Million","71"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Southern","Euro Million","1957"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Mid-West","Euro Million","573"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Clare","Euro Million","139"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Limerick","Euro Million","246"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Tipperary","Euro Million","188"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","South-East","Euro Million","489"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Carlow","Euro Million","68"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Kilkenny","Euro Million","113"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Wexford","Euro Million","171"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Waterford","Euro Million","137"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","South-West","Euro Million","895"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Cork","Euro Million","725"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Kerry","Euro Million","171"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Eastern and Midland","Euro Million","3622"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Dublin","Euro Million","2412"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Mid-East","Euro Million","905"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Kildare","Euro Million","305"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Louth","Euro Million","150"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Meath","Euro Million","240"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Wicklow","Euro Million","209"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Midland","Euro Million","305"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Laois","Euro Million","85"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Longford","Euro Million","38"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Offaly","Euro Million","82"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Westmeath","Euro Million","99"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","State","Euro Million","6758"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","Northern and Western","Euro Million","966"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","Border","Euro Million","390"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","Leitrim","Euro Million","30"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","Sligo","Euro Million","75"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","Cavan","Euro Million","71"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","Donegal","Euro Million","153"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","Monaghan","Euro Million","61"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","West","Euro Million","576"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","Galway","Euro Million","357"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","Mayo","Euro Million","150"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","Roscommon","Euro Million","69"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","Southern","Euro Million","1979"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","Mid-West","Euro Million","568"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","Clare","Euro Million","137"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","Limerick","Euro Million","250"
