"Statistic","Year","County and Region","UNIT","VALUE"
"Index of Disposable Income per Person","2015","South-East","State=100","97.4"
"Index of Disposable Income per Person","2015","Carlow","State=100","101"
"Index of Disposable Income per Person","2015","Kilkenny","State=100","95.4"
"Index of Disposable Income per Person","2015","Wexford","State=100","96.1"
"Index of Disposable Income per Person","2015","Waterford","State=100","98.9"
"Index of Disposable Income per Person","2015","South-West","State=100","96"
"Index of Disposable Income per Person","2015","Cork","State=100","98"
"Index of Disposable Income per Person","2015","Kerry","State=100","88.8"
"Index of Disposable Income per Person","2015","Eastern and Midland","State=100","107.1"
"Index of Disposable Income per Person","2015","Dublin","State=100","115.8"
"Index of Disposable Income per Person","2015","Mid-East","State=100","98.5"
"Index of Disposable Income per Person","2015","Kildare","State=100","102.2"
"Index of Disposable Income per Person","2015","Louth","State=100","92.6"
"Index of Disposable Income per Person","2015","Meath","State=100","97"
"Index of Disposable Income per Person","2015","Wicklow","State=100","100"
"Index of Disposable Income per Person","2015","Midland","State=100","87.8"
"Index of Disposable Income per Person","2015","Laois","State=100","87.8"
"Index of Disposable Income per Person","2015","Longford","State=100","88.2"
"Index of Disposable Income per Person","2015","Offaly","State=100","84.4"
"Index of Disposable Income per Person","2015","Westmeath","State=100","90.6"
"Index of Disposable Income per Person","2016","State","State=100","100"
"Index of Disposable Income per Person","2016","Northern and Western","State=100","85.4"
"Index of Disposable Income per Person","2016","Border","State=100","81.6"
"Index of Disposable Income per Person","2016","Leitrim","State=100","86.6"
"Index of Disposable Income per Person","2016","Sligo","State=100","87.8"
"Index of Disposable Income per Person","2016","Cavan","State=100","85.8"
"Index of Disposable Income per Person","2016","Donegal","State=100","74.8"
"Index of Disposable Income per Person","2016","Monaghan","State=100","85.5"
"Index of Disposable Income per Person","2016","West","State=100","88.7"
"Index of Disposable Income per Person","2016","Galway","State=100","92.5"
"Index of Disposable Income per Person","2016","Mayo","State=100","84.2"
"Index of Disposable Income per Person","2016","Roscommon","State=100","83.3"
"Index of Disposable Income per Person","2016","Southern","State=100","96.5"
"Index of Disposable Income per Person","2016","Mid-West","State=100","99.5"
"Index of Disposable Income per Person","2016","Clare","State=100","89.5"
