Statistic,Garda Station,Type of Offence,UNIT,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Recorded Crime Offences Under Reservation,"11503 Emyvale, Cavan/Monaghan Division","Offences against government, justice procedures and organisation of crime",Number,2,1,8,3,1,2,0,1,2,2,2,1,1,1,0,1,1
Recorded Crime Offences Under Reservation,"42402 Enfield, Meath Division","Attempts/threats to murder, assaults, harassments and related offences",Number,11,15,14,23,27,10,10,16,9,3,5,3,7,7,11,8,9
Recorded Crime Offences Under Reservation,"42402 Enfield, Meath Division",Dangerous or negligent acts,Number,23,32,22,20,28,12,15,3,11,6,4,8,3,4,4,4,6
Recorded Crime Offences Under Reservation,"42402 Enfield, Meath Division",Kidnapping and related offences,Number,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"42402 Enfield, Meath Division","Robbery, extortion and hijacking offences",Number,3,2,4,0,1,2,1,3,3,1,1,1,1,1,1,0,4
Recorded Crime Offences Under Reservation,"42402 Enfield, Meath Division",Burglary and related offences,Number,53,31,39,39,43,32,20,19,33,33,23,17,11,9,24,21,16
Recorded Crime Offences Under Reservation,"42402 Enfield, Meath Division",Theft and related offences,Number,47,73,119,110,92,75,38,59,50,47,46,25,27,36,46,40,34
Recorded Crime Offences Under Reservation,"42402 Enfield, Meath Division","Fraud, deception and related offences",Number,0,12,7,2,9,3,7,4,2,7,0,2,2,3,4,3,7
Recorded Crime Offences Under Reservation,"42402 Enfield, Meath Division",Controlled drug offences,Number,4,1,3,2,7,6,5,6,3,1,0,1,4,0,6,0,6
Recorded Crime Offences Under Reservation,"42402 Enfield, Meath Division",Weapons and Explosives Offences,Number,1,2,2,4,2,3,2,0,2,0,0,3,0,0,1,0,1
Recorded Crime Offences Under Reservation,"42402 Enfield, Meath Division",Damage to property and to the environment,Number,10,14,35,43,35,39,32,9,17,15,21,12,8,8,16,6,15
Recorded Crime Offences Under Reservation,"42402 Enfield, Meath Division",Public order and other social code offences,Number,24,30,30,24,29,23,19,16,7,12,8,11,5,8,16,11,9
Recorded Crime Offences Under Reservation,"42402 Enfield, Meath Division","Offences against government, justice procedures and organisation of crime",Number,1,2,1,0,0,1,1,2,0,0,1,0,1,8,1,2,1
Recorded Crime Offences Under Reservation,"21102 Ennis, Clare Division","Attempts/threats to murder, assaults, harassments and related offences",Number,132,107,98,114,139,173,170,159,126,116,124,114,151,160,169,150,202
Recorded Crime Offences Under Reservation,"21102 Ennis, Clare Division",Dangerous or negligent acts,Number,73,125,131,200,222,202,153,112,100,71,74,78,82,97,67,106,110
Recorded Crime Offences Under Reservation,"21102 Ennis, Clare Division",Kidnapping and related offences,Number,2,1,0,1,0,1,0,1,1,0,1,1,1,1,1,2,2
Recorded Crime Offences Under Reservation,"21102 Ennis, Clare Division","Robbery, extortion and hijacking offences",Number,7,14,7,5,18,9,16,11,7,12,13,14,12,6,14,8,8
Recorded Crime Offences Under Reservation,"21102 Ennis, Clare Division",Burglary and related offences,Number,128,105,83,146,172,230,161,154,112,136,160,166,156,134,84,131,73
Recorded Crime Offences Under Reservation,"21102 Ennis, Clare Division",Theft and related offences,Number,470,545,376,537,508,535,532,484,442,423,467,461,524,456,441,526,442
Recorded Crime Offences Under Reservation,"21102 Ennis, Clare Division","Fraud, deception and related offences",Number,14,27,38,30,41,38,36,37,30,42,44,30,79,63,46,46,82
Recorded Crime Offences Under Reservation,"21102 Ennis, Clare Division",Controlled drug offences,Number,58,67,109,147,131,188,219,209,138,118,182,219,210,207,208,198,178
Recorded Crime Offences Under Reservation,"21102 Ennis, Clare Division",Weapons and Explosives Offences,Number,19,11,18,14,27,34,47,48,19,31,26,37,29,25,16,23,23
Recorded Crime Offences Under Reservation,"21102 Ennis, Clare Division",Damage to property and to the environment,Number,209,240,225,333,269,355,273,273,230,186,178,168,195,173,160,153,190
Recorded Crime Offences Under Reservation,"21102 Ennis, Clare Division",Public order and other social code offences,Number,309,425,580,521,686,689,739,556,537,517,464,408,378,428,358,359,265
Recorded Crime Offences Under Reservation,"21102 Ennis, Clare Division","Offences against government, justice procedures and organisation of crime",Number,47,35,44,46,75,108,112,128,132,145,102,143,204,160,113,103,106
Recorded Crime Offences Under Reservation,"52103 Enniscorthy, Wexford Division","Attempts/threats to murder, assaults, harassments and related offences",Number,46,40,69,71,89,80,102,80,75,76,50,54,86,103,102,136,102
Recorded Crime Offences Under Reservation,"52103 Enniscorthy, Wexford Division",Dangerous or negligent acts,Number,41,53,73,104,123,100,88,43,51,60,41,35,27,25,36,37,44
Recorded Crime Offences Under Reservation,"52103 Enniscorthy, Wexford Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"52103 Enniscorthy, Wexford Division","Robbery, extortion and hijacking offences",Number,7,7,6,3,2,2,3,0,1,1,3,8,2,3,3,2,5
Recorded Crime Offences Under Reservation,"52103 Enniscorthy, Wexford Division",Burglary and related offences,Number,80,105,98,107,66,76,79,76,85,101,144,169,174,73,72,86,72
Recorded Crime Offences Under Reservation,"52103 Enniscorthy, Wexford Division",Theft and related offences,Number,178,155,160,200,239,207,280,235,266,251,272,246,231,185,162,157,120
Recorded Crime Offences Under Reservation,"52103 Enniscorthy, Wexford Division","Fraud, deception and related offences",Number,28,7,25,17,15,16,29,29,34,44,11,13,47,17,22,24,34
Recorded Crime Offences Under Reservation,"52103 Enniscorthy, Wexford Division",Controlled drug offences,Number,16,31,137,52,79,77,76,70,65,41,30,31,36,60,58,47,88
Recorded Crime Offences Under Reservation,"52103 Enniscorthy, Wexford Division",Weapons and Explosives Offences,Number,2,2,8,9,10,10,15,2,10,8,2,8,5,4,6,6,10
Recorded Crime Offences Under Reservation,"52103 Enniscorthy, Wexford Division",Damage to property and to the environment,Number,94,83,94,87,188,170,178,184,151,142,185,170,185,157,138,153,113
Recorded Crime Offences Under Reservation,"52103 Enniscorthy, Wexford Division",Public order and other social code offences,Number,104,175,179,252,339,318,276,224,220,203,138,92,93,113,127,132,126
Recorded Crime Offences Under Reservation,"52103 Enniscorthy, Wexford Division","Offences against government, justice procedures and organisation of crime",Number,32,18,20,19,35,11,45,21,9,11,5,24,20,15,22,13,53
Recorded Crime Offences Under Reservation,"13106 Enniscrone, Sligo/Leitrim Division","Attempts/threats to murder, assaults, harassments and related offences",Number,13,10,3,9,11,12,20,6,7,9,15,13,18,7,18,8,16
Recorded Crime Offences Under Reservation,"13106 Enniscrone, Sligo/Leitrim Division",Dangerous or negligent acts,Number,17,14,12,20,14,6,15,10,9,7,6,10,8,4,5,3,4
Recorded Crime Offences Under Reservation,"13106 Enniscrone, Sligo/Leitrim Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"13106 Enniscrone, Sligo/Leitrim Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Recorded Crime Offences Under Reservation,"13106 Enniscrone, Sligo/Leitrim Division",Burglary and related offences,Number,19,6,4,6,16,15,15,11,17,33,18,22,11,6,4,8,4
Recorded Crime Offences Under Reservation,"13106 Enniscrone, Sligo/Leitrim Division",Theft and related offences,Number,23,21,19,34,26,31,30,15,16,19,19,31,9,12,24,4,25
Recorded Crime Offences Under Reservation,"13106 Enniscrone, Sligo/Leitrim Division","Fraud, deception and related offences",Number,2,1,2,3,3,3,2,4,3,3,4,1,2,2,2,3,5
Recorded Crime Offences Under Reservation,"13106 Enniscrone, Sligo/Leitrim Division",Controlled drug offences,Number,1,4,9,1,16,0,2,0,4,2,3,3,3,2,1,1,0
Recorded Crime Offences Under Reservation,"13106 Enniscrone, Sligo/Leitrim Division",Weapons and Explosives Offences,Number,0,0,0,0,0,1,1,0,1,0,2,0,0,1,0,0,1
Recorded Crime Offences Under Reservation,"13106 Enniscrone, Sligo/Leitrim Division",Damage to property and to the environment,Number,23,9,25,20,16,13,17,10,9,14,18,15,11,8,15,17,7
Recorded Crime Offences Under Reservation,"13106 Enniscrone, Sligo/Leitrim Division",Public order and other social code offences,Number,20,34,31,22,12,13,26,22,21,10,14,9,13,4,3,6,9
Recorded Crime Offences Under Reservation,"13106 Enniscrone, Sligo/Leitrim Division","Offences against government, justice procedures and organisation of crime",Number,0,3,2,1,6,0,1,0,1,0,1,1,1,2,1,0,0
Recorded Crime Offences Under Reservation,"43202 Enniskerry, Wicklow Division","Attempts/threats to murder, assaults, harassments and related offences",Number,5,6,7,9,2,11,4,4,4,4,8,5,4,6,4,9,2
Recorded Crime Offences Under Reservation,"43202 Enniskerry, Wicklow Division",Dangerous or negligent acts,Number,1,9,7,3,4,7,5,5,3,3,2,1,0,2,5,5,8
Recorded Crime Offences Under Reservation,"43202 Enniskerry, Wicklow Division",Kidnapping and related offences,Number,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Recorded Crime Offences Under Reservation,"43202 Enniskerry, Wicklow Division","Robbery, extortion and hijacking offences",Number,3,0,5,1,0,1,1,2,3,2,0,2,0,0,2,6,1
Recorded Crime Offences Under Reservation,"43202 Enniskerry, Wicklow Division",Burglary and related offences,Number,42,31,41,27,41,21,24,35,45,17,26,30,27,21,35,15,29
Recorded Crime Offences Under Reservation,"43202 Enniskerry, Wicklow Division",Theft and related offences,Number,82,67,75,73,70,77,91,96,76,75,88,75,56,52,71,55,63
Recorded Crime Offences Under Reservation,"43202 Enniskerry, Wicklow Division","Fraud, deception and related offences",Number,1,2,2,0,0,1,1,1,3,0,2,1,2,1,3,3,1
Recorded Crime Offences Under Reservation,"43202 Enniskerry, Wicklow Division",Controlled drug offences,Number,0,3,7,4,8,17,11,9,11,3,16,2,7,6,3,3,4
Recorded Crime Offences Under Reservation,"43202 Enniskerry, Wicklow Division",Weapons and Explosives Offences,Number,1,0,0,1,1,1,1,1,8,1,1,0,0,1,1,2,0
Recorded Crime Offences Under Reservation,"43202 Enniskerry, Wicklow Division",Damage to property and to the environment,Number,22,53,39,29,25,40,49,65,42,23,35,21,25,29,28,28,23
Recorded Crime Offences Under Reservation,"43202 Enniskerry, Wicklow Division",Public order and other social code offences,Number,2,4,16,8,15,7,11,6,8,3,9,14,5,5,1,9,3
Recorded Crime Offences Under Reservation,"43202 Enniskerry, Wicklow Division","Offences against government, justice procedures and organisation of crime",Number,2,2,1,1,0,0,3,0,3,0,2,1,1,1,1,2,2
Recorded Crime Offences Under Reservation,"21205 Ennistymon, Clare Division","Attempts/threats to murder, assaults, harassments and related offences",Number,38,25,37,28,16,27,26,30,17,18,11,20,27,24,24,30,30
Recorded Crime Offences Under Reservation,"21205 Ennistymon, Clare Division",Dangerous or negligent acts,Number,13,14,14,44,33,33,18,27,17,14,17,26,15,8,13,15,13
Recorded Crime Offences Under Reservation,"21205 Ennistymon, Clare Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"21205 Ennistymon, Clare Division","Robbery, extortion and hijacking offences",Number,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2
Recorded Crime Offences Under Reservation,"21205 Ennistymon, Clare Division",Burglary and related offences,Number,18,19,27,40,23,41,39,18,12,19,11,12,20,9,10,16,9
Recorded Crime Offences Under Reservation,"21205 Ennistymon, Clare Division",Theft and related offences,Number,70,49,108,41,52,56,61,72,60,60,65,46,48,46,42,62,59
Recorded Crime Offences Under Reservation,"21205 Ennistymon, Clare Division","Fraud, deception and related offences",Number,1,2,4,5,0,6,6,5,3,0,1,1,2,1,4,6,6
Recorded Crime Offences Under Reservation,"21205 Ennistymon, Clare Division",Controlled drug offences,Number,5,5,8,15,14,11,8,12,8,3,8,14,6,7,1,6,11
Recorded Crime Offences Under Reservation,"21205 Ennistymon, Clare Division",Weapons and Explosives Offences,Number,1,2,2,3,1,2,3,5,2,1,3,0,1,3,1,0,4
Recorded Crime Offences Under Reservation,"21205 Ennistymon, Clare Division",Damage to property and to the environment,Number,47,36,74,55,41,48,61,67,24,34,42,27,25,30,40,28,31
Recorded Crime Offences Under Reservation,"21205 Ennistymon, Clare Division",Public order and other social code offences,Number,56,51,155,143,123,94,84,102,61,57,95,70,62,52,37,40,40
Recorded Crime Offences Under Reservation,"21205 Ennistymon, Clare Division","Offences against government, justice procedures and organisation of crime",Number,4,3,5,6,10,2,7,8,9,2,3,7,4,3,4,3,3
Recorded Crime Offences Under Reservation,"23501 Eyrecourt, Galway Division","Attempts/threats to murder, assaults, harassments and related offences",Number,7,0,1,1,1,4,6,5,1,0,4,4,3,8,6,10,2
Recorded Crime Offences Under Reservation,"23501 Eyrecourt, Galway Division",Dangerous or negligent acts,Number,2,1,2,3,4,4,2,3,2,0,0,0,1,2,0,3,2
Recorded Crime Offences Under Reservation,"23501 Eyrecourt, Galway Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Recorded Crime Offences Under Reservation,"23501 Eyrecourt, Galway Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"23501 Eyrecourt, Galway Division",Burglary and related offences,Number,6,5,6,3,3,6,15,3,4,7,7,7,9,10,6,21,7
Recorded Crime Offences Under Reservation,"23501 Eyrecourt, Galway Division",Theft and related offences,Number,1,7,7,6,8,17,9,6,14,19,17,9,10,4,5,9,14
Recorded Crime Offences Under Reservation,"23501 Eyrecourt, Galway Division","Fraud, deception and related offences",Number,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,2,1
Recorded Crime Offences Under Reservation,"23501 Eyrecourt, Galway Division",Controlled drug offences,Number,0,2,0,0,0,0,0,1,0,0,1,0,2,2,0,1,3
Recorded Crime Offences Under Reservation,"23501 Eyrecourt, Galway Division",Weapons and Explosives Offences,Number,1,0,0,0,0,1,4,0,0,1,2,0,0,1,0,1,0
Recorded Crime Offences Under Reservation,"23501 Eyrecourt, Galway Division",Damage to property and to the environment,Number,0,8,4,4,6,10,11,4,6,7,4,7,2,6,14,5,0
Recorded Crime Offences Under Reservation,"23501 Eyrecourt, Galway Division",Public order and other social code offences,Number,7,4,1,3,1,6,6,1,1,2,1,0,0,2,5,4,0
Recorded Crime Offences Under Reservation,"23501 Eyrecourt, Galway Division","Offences against government, justice procedures and organisation of crime",Number,1,0,1,1,1,2,0,1,2,1,1,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"34311 Farranfore, Kerry Division","Attempts/threats to murder, assaults, harassments and related offences",Number,1,4,6,3,2,2,8,2,4,6,2,9,2,6,2,3,6
Recorded Crime Offences Under Reservation,"34311 Farranfore, Kerry Division",Dangerous or negligent acts,Number,12,10,12,15,7,13,8,5,4,4,7,5,5,5,10,12,7
Recorded Crime Offences Under Reservation,"34311 Farranfore, Kerry Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"34311 Farranfore, Kerry Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"34311 Farranfore, Kerry Division",Burglary and related offences,Number,6,4,14,8,4,10,6,9,9,5,7,6,6,6,3,2,8
Recorded Crime Offences Under Reservation,"34311 Farranfore, Kerry Division",Theft and related offences,Number,11,5,8,9,10,19,8,14,11,6,10,7,6,4,2,2,3
Recorded Crime Offences Under Reservation,"34311 Farranfore, Kerry Division","Fraud, deception and related offences",Number,2,1,1,2,1,0,0,0,3,1,0,3,7,0,1,1,3
Recorded Crime Offences Under Reservation,"34311 Farranfore, Kerry Division",Controlled drug offences,Number,4,2,15,8,2,10,6,6,3,3,5,4,0,3,5,1,2
Recorded Crime Offences Under Reservation,"34311 Farranfore, Kerry Division",Weapons and Explosives Offences,Number,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
Recorded Crime Offences Under Reservation,"34311 Farranfore, Kerry Division",Damage to property and to the environment,Number,5,4,8,5,4,9,5,5,2,5,4,2,4,4,4,2,2
Recorded Crime Offences Under Reservation,"34311 Farranfore, Kerry Division",Public order and other social code offences,Number,4,2,3,6,5,5,5,8,2,8,2,3,4,1,3,3,3
Recorded Crime Offences Under Reservation,"34311 Farranfore, Kerry Division","Offences against government, justice procedures and organisation of crime",Number,0,1,2,1,1,1,1,0,0,1,1,0,1,0,1,0,2
Recorded Crime Offences Under Reservation,"41104 Ferbane, Laois/Offaly Division","Attempts/threats to murder, assaults, harassments and related offences",Number,12,11,12,8,8,11,4,8,7,4,11,12,11,8,10,11,8
Recorded Crime Offences Under Reservation,"41104 Ferbane, Laois/Offaly Division",Dangerous or negligent acts,Number,15,14,9,13,11,10,4,2,9,5,4,5,3,3,6,4,2
Recorded Crime Offences Under Reservation,"41104 Ferbane, Laois/Offaly Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"41104 Ferbane, Laois/Offaly Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"41104 Ferbane, Laois/Offaly Division",Burglary and related offences,Number,23,15,14,16,20,10,9,9,24,14,13,15,26,7,14,12,6
Recorded Crime Offences Under Reservation,"41104 Ferbane, Laois/Offaly Division",Theft and related offences,Number,34,20,31,21,25,28,21,40,27,25,31,19,33,16,17,10,10
Recorded Crime Offences Under Reservation,"41104 Ferbane, Laois/Offaly Division","Fraud, deception and related offences",Number,2,2,8,4,3,2,0,0,0,1,1,1,2,1,5,1,4
Recorded Crime Offences Under Reservation,"41104 Ferbane, Laois/Offaly Division",Controlled drug offences,Number,1,2,3,1,6,0,0,4,0,2,8,2,2,2,0,5,1
Recorded Crime Offences Under Reservation,"41104 Ferbane, Laois/Offaly Division",Weapons and Explosives Offences,Number,1,2,0,0,2,2,2,4,0,0,2,0,0,0,1,0,0
